train_losses,train_accs,valid_losses,valid_accs
0.6992809654629163,0.3282738593450823,0.6934394510137459,0.26390096629518833
0.6931940181051046,0.26334917280128445,0.6931471824645996,0.26389743593488874
0.693147182492662,0.348676281965385,0.6931471824645996,0.7360996747770643
0.693147182492662,0.8816063631950349,0.6931471824645996,0.9722050861788669
0.693147182492662,0.9732969765833767,0.6931471824645996,0.972208532735631
0.693147182492662,0.9732969383061942,0.6931471824645996,0.9722063658439776
0.693147182492662,0.973296869581253,0.6931471824645996,0.9722020090518895
0.693147182492662,0.973296893686898,0.6931471824645996,0.9722027821271074
0.693147182492662,0.9732968686271297,0.6931471824645996,0.9722090430942034
0.693147182492662,0.973296982644866,0.6931471824645996,0.9722083423181302
