train_losses,train_accs,valid_losses,valid_accs
0.5852229309789205,0.9732968855487873,0.6221429761158249,0.9722110576518562
0.6508765060966747,0.9732968813113574,0.6751440475863744,0.9721998116140953
0.6868436060102197,0.9732968451107963,0.6926525000129484,0.9722035095814658
0.693074366326835,0.9732968622569534,0.6931471824645996,0.9722048348674361
0.693147182492662,0.9732968309953837,0.6931471824645996,0.9721965593426874
0.693147182492662,0.26949741547180095,0.6931471824645996,0.027795945862912497
0.693147182492662,0.026703086401039484,0.6931471824645996,0.02779190520602534
0.693147182492662,0.026703142675022173,0.6931471824645996,0.027800828168872194
0.693147182492662,0.026703111944008064,0.6931471824645996,0.027787464669287304
0.693147182492662,0.026703106328010165,0.6931471824645996,0.027793314295531113
