train_losses,train_accs,valid_losses,valid_accs
0.7167977207461319,0.30518043869071537,0.7167237943500132,0.30555516907855396
0.7167651701837834,0.30506923069332054,0.7167164225149869,0.30428055241183316
0.7167504926522573,0.3027302612832935,0.7166959509476647,0.3004617586409589
0.7167454362476837,0.2967438188200841,0.7167228047740638,0.29188316207558856
0.7168232613644806,0.2834318244159783,0.7168466766146376,0.27207002559438126
0.7169881712526027,0.2542092010533181,0.7170519930947442,0.23582708830643018
0.7172588597976106,0.22771951935750392,0.7174009802734197,0.23381830174196977
0.7177372203820618,0.23906737967988864,0.7180168759604659,0.2470244358413033
0.7184132413338806,0.25066994042916263,0.7186502202378335,0.24094190930764806
0.718845909878808,0.10848183461277273,0.7188497166863693,0.02779165766327433
0.718811853681805,0.026703041786128014,0.7185512125591271,0.02778891945713372
0.7180120882397543,0.026703057152073544,0.7170673201167445,0.027796250530913745
0.7156184174527331,0.026703055784029085,0.7138392379795652,0.027796821783416085
0.7121300188273809,0.026703050909055268,0.7105296508048021,0.027793169576370975
0.709196843922475,0.026703084975993174,0.7075596333740158,0.027793931246374092
0.7050507354871028,0.026703115051924454,0.7019576449164139,0.027793976947813978
0.6984501210814815,0.02670309412698288,0.6952670985172672,0.027790397098799314
0.6938177550916618,0.026703048343094952,0.6931801097166915,0.02780258000987937
0.6931514053302071,0.02670307246101722,0.6931471824645996,0.027796418100793824
0.693147182492662,0.026703091304952704,0.6931471824645996,0.027789410736765125
0.693147182492662,0.8860185043903843,0.6931471824645996,0.9722076035577326
0.693147182492662,0.9732968756988672,0.6931471824645996,0.9721997164053449
0.693147182492662,0.9732968846788514,0.6931471824645996,0.9722040655608979
0.693147182492662,0.9732969074655612,0.6931471824645996,0.9721971496369398
0.693147182492662,0.9732969290175232,0.6931471824645996,0.9722015634551024
0.693147182492662,0.973296879290861,0.6931471824645996,0.972208254745915
0.693147182492662,0.9732968729768096,0.6931471824645996,0.9721999144593808
0.693147182492662,0.9732968813113574,0.6931471824645996,0.9722090392263479
0.693147182492662,0.9732968092189221,0.6931471824645996,0.9722086012660961
0.693147182492662,0.9732969040419422,0.6931471824645996,0.9722032429969648
0.693147182492662,0.9732969032281311,0.6931471824645996,0.9721957823996139
0.693147182492662,0.9732968523789709,0.6931471824645996,0.9722062096421215
0.693147182492662,0.9732969047996284,0.6931471824645996,0.9722125467762177
0.693147182492662,0.97329686851488,0.6931471824645996,0.9722060268611559
0.693147182492662,0.9732968400876176,0.6931471824645996,0.972207481670697
0.693147182492662,0.9732969404950653,0.6931471824645996,0.9722142947493695
0.693147182492662,0.9732968501059125,0.6931471824645996,0.9722049338448663
0.693147182492662,0.9732969133867382,0.6931471824645996,0.9722060953916211
0.693147182492662,0.9732969131341762,0.6931471824645996,0.9721879524716521
0.693147182492662,0.9732968938272103,0.6931471824645996,0.9722029535028581
