Train Loss,Train Acc,Valid Loss,Valid Acc
0.3390476690066431,0.8460849583963599,0.30918961212560825,0.8628926843056883
0.302024302864129,0.8650637084367878,0.29782320674987156,0.8675062412881666
0.2955589925781198,0.8673429412423614,0.2985620815814237,0.8669078238743289
0.2905426557962878,0.8697663887079321,0.29267880969938137,0.8705911555178898
0.2859485431453362,0.8724117384956204,0.2855421806239896,0.8747441777923228
0.28246498364182976,0.8743163389334103,0.28062331543126456,0.876560079448418
0.2802557664539385,0.8756263133197819,0.2803339580733489,0.8770295070766939
0.27785041408957,0.876919740424884,0.2773176745334024,0.8786424298694625
0.2763613569709326,0.8777849743469429,0.27679731073546504,0.8791338903430835
0.27489576741611765,0.8785952673143026,0.2758621012770248,0.8799888858071561
0.27369542180609324,0.8793364609835631,0.2737352211999522,0.8807636821780224
0.2723342040065752,0.8800281138246314,0.27426754831108136,0.8810991508023748
0.2709345004451302,0.8806654571264915,0.2723265755849126,0.8814095884909425
0.26975573546726234,0.881336871067864,0.272230283295598,0.881036463182724
0.2687735213200161,0.8819067880748888,0.26945491048148634,0.8827654378423431
0.2681416003945748,0.8822557233732219,0.27339420424129246,0.8809007049070722
0.26740899004873764,0.8826419984018069,0.26923045237704474,0.882571221325648
0.2667513927763035,0.8829900050081805,0.26815757717835764,0.8833173564435907
0.26638671845740775,0.8832139709544344,0.27213543844826027,0.8809536753461519
0.2652876909508249,0.8837133477651992,0.2734541746313006,0.8820920115778882
0.264882103762757,0.883924987633842,0.27052507737963116,0.8833528576194081
0.2643410597072918,0.8842131587123002,0.26662492757873313,0.8841484451108406
0.2642315913984607,0.8842691914910336,0.26614279163718685,0.8846663060355279
0.2633260286546785,0.8847784230269169,0.2663936409157074,0.8848824069657678
0.2632086803300777,0.8848018039331892,0.2684575410900413,0.8834960671714308
0.26293802049206166,0.8849703891537999,0.26961543326943765,0.8820401344317871
0.2625987896173853,0.8851250946385986,0.2689088363823724,0.8835330264577606
0.2620659036761264,0.8854154737365001,0.2649025033420162,0.8852691443977653
0.26157653728894603,0.8856098123726378,0.26761272224934646,0.8844856652304356
0.2615138542305907,0.8856773128677881,0.2657068428014503,0.8849736373248267
0.2611440144360473,0.8858258126129593,0.26418655809261454,0.885728094828268
0.2606734305722024,0.8860718679183708,0.26432331300663114,0.8855660673709231
0.2608923780857023,0.8859859501989664,0.2638045544754206,0.8858775188023015
0.2602623432942566,0.8863286822694852,0.2627628063529382,0.886574161655708
0.25972631858801787,0.8865856533034244,0.26220340377393864,0.8866829510328834
0.2597146880959324,0.886587821201746,0.26448053057787485,0.8854239406752679
0.25929650531950194,0.8867505838360493,0.26103503764371466,0.8869201274233569
0.259370301826804,0.8866982035729228,0.2643933347806856,0.8853187985457335
0.25909298994410823,0.8868440413393572,0.2611012031480032,0.8870538677222998
0.2589668628159308,0.8869693286055041,0.2656054599391811,0.8846839313841052
0.25842972096386696,0.8871780446558716,0.26389250437573236,0.8860622032143263
0.2586831436545539,0.88708092146691,0.26590238012924267,0.8859327349681335
0.2583604806138877,0.8872299412252691,0.2724259034784851,0.8836306628086223
0.257973093564934,0.887375141059076,0.2625982582801047,0.8862530419798677
0.2576991099363579,0.8875815836470872,0.2613585052091324,0.8868869035160495
0.2579568054756162,0.8874216488390686,0.26246503273800653,0.8861624329470474
0.257362242813534,0.8877405011029341,0.26435148170949885,0.88574940917093
0.2572523340548904,0.8877604539274898,0.2627450051474664,0.8869632983486012
0.25774011742281205,0.8875045789944556,0.2603235616410289,0.8871349669152196
0.2570616294012526,0.8878101831416606,0.26307185255136006,0.8863643069211611
