train_losses,train_accs,valid_losses,valid_accs
0.5600631719142928,0.9732969486331761,0.5903684860854697,0.9722017386987086
0.6219483691981508,0.9732968082647988,0.6517188650201046,0.972199872607201
0.6727886306027234,0.9732968524912208,0.6878993519134013,0.9722087345583467
0.6918755407443379,0.9732969757134406,0.6931323823635273,0.9722063201239423
0.6931457921385541,0.9732968810868577,0.6931471824645996,0.9722054746504036
0.693147182492662,0.7857143513677667,0.6931471824645996,0.027789639237766058
0.693147182492662,0.026703112001009915,0.6931471824645996,0.02779534414484973
0.693147182492662,0.026703047687135172,0.6931471824645996,0.027789220319264344
0.693147182492662,0.026703143188915795,0.6931471824645996,0.027791033091392373
0.693147182492662,0.026703169102834892,0.6931471824645996,0.027791006434801813
