train_losses,train_accs,valid_losses,valid_accs
0.6881207908782582,0.501505758830832,0.6922587035301323,0.5000037676879451
0.6929540877737344,0.4999990351007034,0.6931457179358319,0.5000036039487296
0.693147053966639,0.4999990332626129,0.6931471824645996,0.5000035582782821
0.693147182492662,0.8492789121446412,0.6931471824645996,0.9721988824361969
0.693147182492662,0.9732969694274518,0.6931471824645996,0.9722073864619466
0.693147182492662,0.9732969045751287,0.6931471824645996,0.972212356358717
0.693147182492662,0.9732968953425826,0.6931471824645996,0.9722055050973686
0.693147182492662,0.9732969252010298,0.6931471824645996,0.9722031515568941
0.693147182492662,0.9732969141724869,0.6931471824645996,0.9722037608928966
0.693147182492662,0.9732968767933028,0.6931471824645996,0.9722055431808687
