Train Loss,Train Acc,Valid Loss,Valid Acc
0.05056045412326235,0.6799909571930397,0.04251411798221839,0.7494912868963799
0.04107702053073099,0.7188141383300842,0.042931741328806165,0.7507442504403099
0.040218020727938626,0.7180079009853962,0.04431482162419552,0.6742644852860994
0.0398433149955367,0.7122220133769759,0.04036038066899736,0.7205145455921649
0.0393944564249135,0.7083797619279945,0.04054616299824334,0.7417246380854962
0.039174491081828786,0.7086341730169882,0.03869387300796621,0.6991639772364978
0.03900625786907171,0.7104853345344295,0.039530303739297966,0.7373592966110655
0.038703705958948384,0.7120983016636862,0.03936526822135435,0.6921730464240675
0.038450682098168716,0.712841566336357,0.03785332938897952,0.7385861531346293
0.03797459222460534,0.717078312038814,0.03869075586879084,0.7583589501021905
